Regiao;Ano;PIB corrente;POPU;Deflat2013;PIBreal;PIBrealpercapita
Brasil;2010;3885847000;190747855;0,827811912;4694118245;24609,02
Brasil;2011;4373658000;192379287;0,885498294;4939205452;25674,31
Brasil;2012;4805913000;193946886;0,92915511;5172347380;26668,89
Brasil;2013;5316453957;201032714;1;5316453957;26445,72
Norte;2010;207111154;15880839;0,827811912;250191077,2;15754,27
Norte;2011;241090374;16095187;0,885498294;272265204,5;16915,94
Norte;2012;258770937;16318163;0,92915511;278501333,3;17066,95
Norte;2013;292341723;16983484;1;292341723;17213,3
Nordeste;2010;522765209;53078137;0,827811912;631502399,7;11897,6
Nordeste;2011;583414355;53501859;0,885498294;658854296,1;12314,61
Nordeste;2012;652258812;53907144;0,92915511;701991308,9;13022,23
Nordeste;2013;722809161;55794707;1;722809161;12954,8
Sudeste;2010;2180954306;80353724;0,827811912;2634601259;32787,54
Sudeste;2011;2453154555;80975616;0,885498294;2770366213;34212,35
Sudeste;2012;2686988353;81565983;0,92915511;2891861997;35454,27
Sudeste;2013;2938538823;84465570;1;2938538823;34789,78
Sul;2010;620196524;27384815;0,827811912;749199806;27358,22
Sul;2011;695989512;27562433;0,885498294;785986282,4;28516,58
Sul;2012;763896958;27731644;0,92915511;822141480,6;29646,33
Sul;2013;878149624;28795762;1;878149624;30495,79
Centro-Oeste;2010;354819807;14050340;0,827811912;428623702,8;30506,29
Centro-Oeste;2011;400009203;14244192;0,885498294;451733454,3;31713,52
Centro-Oeste;2012;443997941;14423952;0,92915511;477851260,9;33129,01
Centro-Oeste;2013;484614625;14993191;1;484614625;32322,31
Paraná;2010;225210633;10439601;0,827811912;272055318;26059,93
Paraná;2011;256974018;10512349;0,885498294;290202725,2;27605,89
Paraná;2012;285205632;10577755;0,92915511;306951583,1;29018,59
Paraná;2013;332837167;10997465;1;332837167;30264,9
Santa Catarina;2010;153730336;6249682;0,827811912;185706842;29714,61
Santa Catarina;2011;174046783;6317054;0,885498294;196552364,1;31114,56
Santa Catarina;2012;191635751;6383286;0,92915511;206247319,6;32310,52
Santa Catarina;2013;214217274;6634254;1;214217274;32289,58
Rio Grande do Sul;2010;241255555;10695532;0,827811912;291437646;27248,54
Rio Grande do Sul;2011;264968712;10733030;0,885498294;299231194,3;27879,47
Rio Grande do Sul;2012;287055575;10770603;0,92915511;308942577,9;28683,87
Rio Grande do Sul;2013;331095183;11164043;1;331095183;29657,28
São Miguel do Oeste;2010;3158831;174732;0,827811912;3815880,097;21838,47
São Miguel do Oeste;2011;3748734;175006;0,885498294;4233473,996;24190,45
São Miguel do Oeste;2012;4061744;175283;0,92915511;4371438,047;24939,32
São Miguel do Oeste;2013;4899584;178659;1;4899584;27424,22
Chapecó;2010;9892677;405066;0,827811912;11950392,18;29502,33
Chapecó;2011;11647410;408422;0,885498294;13153509,25;32205,68
Chapecó;2012;12601819;411687;0,92915511;13562664,47;32944,12
Chapecó;2013;14243476;425546;1;14243476;33471,06
Xanxerê;2010;3296724;152465;0,827811912;3982455,376;26120,46
Xanxerê;2011;4053168;153242;0,885498294;4577273,642;29869,58
Xanxerê;2012;4483694;154003;0,92915511;4825560,287;31334,2
Xanxerê;2013;5103397;158148;1;5103397;32269,75
Joaçaba;2010;7451118;326459;0,827811912;9000979,438;27571,55
Joaçaba;2011;8302461;328257;0,885498294;9376032,747;28563,09
Joaçaba;2012;8735114;330010;0,92915511;9401136,477;28487,43
Joaçaba;2013;9985894;339181;1;9985894;29441,2
Concórdia;2010;3486544;141990;0,827811912;4211758,672;29662,36
Concórdia;2011;3859831;142314;0,885498294;4358936,688;30629,01
Concórdia;2012;3769738;142634;0,92915511;4057167,591;28444,6
Concórdia;2013;4555492;145602;1;4555492;31287,29
Canoinhas;2010;4231302;243739;0,827811912;5111429,224;20970,91
Canoinhas;2011;4694201;244600;0,885498294;5301197,115;21672,92
Canoinhas;2012;5160516;245439;0,92915511;5553987,642;22628,79
Canoinhas;2013;6208389;251223;1;6208389;24712,66
São Bento do Sul;2010;2746765;126395;0,827811912;3318102,772;26251,85
São Bento do Sul;2011;3272031;127287;0,885498294;3695129,65;29029,91
São Bento do Sul;2012;3518069;128150;0,92915511;3786309,693;29545,92
São Bento do Sul;2013;3853135;132137;1;3853135;29160,15
Joinville;2010;28919170;842709;0,827811912;34934469,5;41454,96
Joinville;2011;31780672;855250;0,885498294;35890156,11;41964,52
Joinville;2012;34297160;867387;0,92915511;36912200,8;42555,63
Joinville;2013;37945641;908571;1;37945641;41764,09
Curitibanos;2010;2591142;122626;0,827811912;3130109,584;25525,66
Curitibanos;2011;2805849;123047;0,885498294;3168666,749;25751,68
Curitibanos;2012;3151090;123461;0,92915511;3391349,803;27469
Curitibanos;2013;3586752;126338;1;3586752;28390,13
Campos de Lages;2010;5267199;284115;0,827811912;6362796,817;22395,15
Campos de Lages;2011;5640129;284050;0,885498294;6369440,845;22423,66
Campos de Lages;2012;6977279;283996;0,92915511;7509272,589;26441,47
Campos de Lages;2013;6869400;288367;1;6869400;23821,73
Rio do Sul;2010;4086194;204894;0,827811912;4936138,198;24091,18
Rio do Sul;2011;4488049;206611;0,885498294;5068388,083;24531,07
Rio do Sul;2012;4937007;208279;0,92915511;5313436,848;25511,15
Rio do Sul;2013;5407387;215329;1;5407387;25112,21
Blumenau;2010;19875957;677376;0,827811912;24010233,13;35445,95
Blumenau;2011;22274011;687342;0,885498294;25154211,09;36596,35
Blumenau;2012;24263453;696990;0,92915511;26113458,06;37466,04
Blumenau;2013;26419371;729835;1;26419371;36199,1
Itajaí;2010;17671387;570947;0,827811912;21347104,02;37388,94
Itajaí;2011;20928329;583695;0,885498294;23634522,11;40491,22
Itajaí;2012;24220797;596034;0,92915511;26067549,68;43735
Itajaí;2013;27492345;633350;1;27492345;43407,82
Ituporanga;2010;1015150;55763;0,827811912;1226305,137;21991,38
Ituporanga;2011;1036790;56107;0,885498294;1170854,882;20868,25
Ituporanga;2012;1288105;56444;0,92915511;1386318,588;24560,96
Ituporanga;2013;1469425;58091;1;1469425;25295,23
Tijucas;2010;1744544;91907;0,827811912;2107415,917;22929,87
Tijucas;2011;1887144;93598;0,885498294;2131166,162;22769,36
Tijucas;2012;2080113;95238;0,92915511;2238714,481;23506,53
Tijucas;2013;2449966;100444;1;2449966;24391,36
Florianópolis;2010;21028334;878260;0,827811912;25402309,02;28923,45
Florianópolis;2011;24088434;891123;0,885498294;27203252,87;30526,93
Florianópolis;2012;26655971;903568;0,92915511;28688397,35;31750,13
Florianópolis;2013;29264435;946036;1;29264435;30933,74
Tabuleiro;2010;369508;23928;0,827811912;446367,0969;18654,59
Tabuleiro;2011;365446;24030;0,885498294;412700,9646;17174,41
Tabuleiro;2012;390525;24132;0,92915511;420301,1916;17416,76
Tabuleiro;2013;502775;24738;1;502775;20324
Tubarão;2010;6679358;374859;0,827811912;8068690,366;21524,6
Tubarão;2011;7416955;377755;0,885498294;8376024,045;22173,17
Tubarão;2012;8327489;380567;0,92915511;8962431,469;23550,21
Tubarão;2013;9566399;392934;1;9566399;24346,07
Criciúma;2010;7488344;369398;0,827811912;9045948,591;24488,35
Criciúma;2011;8803854;372777;0,885498294;9942259,7;26670,8
Criciúma;2012;9387871;376053;0,92915511;10103663,96;26867,66
Criciúma;2013;10719374;389413;1;10719374;27527,01
Araranguá;2010;2730087;180808;0,827811912;3297955,683;18240,1
Araranguá;2011;2953284;182393;0,885498294;3335166,223;18285,6
Araranguá;2012;3328198;183931;0,92915511;3581961,68;19474,49
Araranguá;2013;3674638;190312;1;3674638;19308,49
